DPT,ENGETA,EENGETA,Emprunt,ENGDPT,ENGVIL,TotalENG,CENFETA,EENFETA,EmpruntF,ENFDPT,ENFVIL,TotalENF
1,170000.0,0.0,117175.0,15500.0,0.0,302675.0,0.0,0.0,0.0,0.0,0.0,0.0
2,150000.0,0.0,200000.0,128913.0,40000.0,518913.0,0.0,60000.0,0.0,155905.0,0.0,215905.0
3,60000.0,36000.0,220308.0,17000.0,0.0,333308.0,60000.0,78500.0,179691.0,0.0,0.0,318191.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,6584.0,0.0,10701.0,0.0,17285.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,53300.0,0.0,62514.0,0.0,115815.0,0.0,0.0,0.0,0.0,0.0,0.0
7,20000.0,20000.0,20000.0,0.0,0.0,52889.0,100000.0,22978.0,40000.0,0.0,45000.0,207978.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,1832.0,0.0,3433.0,0.0,5266.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,3083.0,0.0,775.0,0.0,3859.0,75000.0,6279.0,0.0,180534.0,0.0,261813.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,435.0,0.0,435.0,0.0,0.0,0.0,435.0,0.0,435.0
13,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,0.0,200000.0,591879.0,10000.0,866879.0
14,526425.0,0.0,526425.0,0.0,0.0,1052850.0,0.0,73575.0,73575.0,0.0,0.0,147150.0
15,0.0,7144.0,0.0,2343.0,499.0,9987.0,0.0,19544.0,0.0,10961.0,0.0,30505.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,6539.0,0.0,6539.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,18000.0,0.0,34544.0,0.0,52544.0,100000.0,0.0,211000.0,0.0,0.0,311000.0
19,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,0.0,0.0,15000.0,0.0,105000.0
20,0.0,750.0,0.0,0.0,0.0,750.0,0.0,1500.0,0.0,0.0,0.0,1500.0
